V1/V2 R1                       R2                        MAX error  AVG error
2.11  S(P(S(1,1),1),1)         S(1,P(1,1))                      35         15
2.12  P(S(P(1,1),1),1,1)       P(1,1,1)                         20         13
2.12  S(1,1,1)                 S(P(S(1,1),1),1,1)               20         13
2.12  P(S(1,1,1),1)            P(S(1,1),1)                      40         15
2.12  S(1,P(1,1))              S(P(1,1,1),1)                    40         15
2.14  P(S(P(1,1,1),1),1)       P(1,1)                           30         15
2.14  S(1,1)                   S(P(S(1,1,1),1),1)               30         15
2.17  S(P(1,1),1,1,1)          S(1,1,1)                         18         13
2.17  S(P(1,1,1),1,1)          S(1,1)                           27         15
2.17  S(P(S(1,1,1),1),1)       S(1,P(1,1))                      36         13
2.17  S(1)                     P(S(1,1),S(P(1,1),1))            54         18
2.17  S(P(1,1),P(S(1,1),1))    S(1)                             54         18
2.17  P(1,1,1)                 P(S(1,1),1,1,1)                  18         13
2.17  P(1,1)                   P(S(1,1,1),1,1)                  27         15
2.17  P(S(1,1),1)              P(S(P(1,1,1),1),1)               36         13
2.20  P(S(1,1),1,1)            P(1,1,1)                         22         16
2.20  S(1,1,1)                 S(P(1,1),1,1)                    22         16
2.20  P(S(P(1,1),1),1)         P(1,1)                           33         18
2.20  S(1,1)                   S(P(S(1,1),1),1)                 33         18
2.20  P(S(1,1,1,1),1)          P(S(1,1),1)                      44         14
2.20  S(1,P(1,1))              S(P(1,1,1,1),1)                  44         14
2.20  S(1)                     S(P(1,1),P(1,1,1))               55         18
2.20  P(S(1,1),S(1,1,1))       S(1)                             55         18
2.25  P(1,1)                   P(S(1,1),1,1)                    28         19
2.25  S(P(1,1),1,1)            S(1,1)                           28         19
2.25  P(S(P(S(1,1),1),1),1)    P(1,1)                           35         16
2.25  S(1,1)                   S(P(S(P(1,1),1),1),1)            35         16
2.25  S(P(1,1),P(1,1,1))       P(S(1,1),1)                      37         14
2.25  S(1,P(1,1))              P(S(1,1),S(1,1,1))               37         14
2.25  P(S(1,1,1),1)            P(S(P(1,1),1),1)                 42         14
2.25  S(P(S(1,1),1),1)         S(P(1,1,1),1)                    42         14
2.25  S(1)                     P(S(1,1,1,1),1)                  56         19
2.25  S(P(1,1,1,1),1)          S(1)                             56         19
2.29  P(S(1,1,1),1,1)          P(1,1,1)                         24         14
2.29  P(S(1,1),S(P(1,1),1))    P(S(1,1),1)                      37         14
2.29  S(1,1,1)                 S(P(1,1,1),1,1)                  24         14
2.29  S(1,P(1,1))              S(P(1,1),P(S(1,1),1))            37         14
2.33  P(1,1,1)                 P(1,1,1,1)                       19         16
2.33  S(P(S(1,1),1),1,1)       S(1,1)                           29         16
2.33  P(S(1,1),1)              P(1,1)                           38         23
2.33  P(S(1,1),1)              P(S(1,1),S(1,1),1)               38         14
2.33  S(P(1,1,1),1)            P(S(1,1),S(1,1))                 43         14
2.33  S(P(1,1,1),1)            S(1)                             57         23
2.33  S(1,1,1,1)               S(1,1,1)                         19         16
2.33  P(1,1)                   P(S(P(1,1),1),1,1)               29         16
2.33  S(1,1)                   S(1,P(1,1))                      38         23
2.33  S(P(1,1),P(1,1),1)       S(1,P(1,1))                      38         14
2.33  P(S(1,1),S(1,1))         P(S(1,1,1),1)                    43         14
2.33  S(1)                     P(S(1,1,1),1)                    57         23
2.40  S(P(S(1,1),P(1,1)),1)    S(1)                             58         19
2.40  S(1)                     P(S(P(1,1),S(1,1)),1)            58         19
2.43  P(S(P(1,1),S(1,1)),1)    P(1,1)                           42         17
2.43  S(1,1)                   S(P(S(1,1),P(1,1)),1)            42         17
2.50  P(1,1)                   P(1,1,1)                         30         24
2.50  P(S(1,1),S(1,1),1)       P(1,1,1)                         30         15
2.50  S(1,1,1)                 S(1,1)                           30         24
2.50  S(1,1,1)                 S(P(1,1),P(1,1),1)               30         15
2.50  P(S(P(1,1),1),1)         P(S(1,1),1,1)                    36         15
2.50  S(P(1,1),1,1)            S(P(S(1,1),1),1)                 36         15
2.50  P(S(1,1),S(1,1))         P(S(1,1),1)                      40         17
2.50  S(1,P(1,1))              P(S(1,1),S(1,1))                 40         17
2.50  P(S(1,1,1),1)            P(1,1)                           45         20
2.50  S(1,1)                   S(P(1,1,1),1)                    45         20
2.50  S(1)                     P(S(1,1),1)                      60         30
2.50  S(1,P(1,1))              S(1)                             60         30
2.56  P(S(1,1),1)              P(S(1,1,1),1,1)                  41         15
2.56  S(P(1,1,1),1,1)          S(1,P(1,1))                      41         15
2.60  S(1,1,1,1)               S(P(1,1),1,1)                    25         15
2.60  S(1,1)                   S(P(1,1,1,1),1)                  49         18
2.60  S(1)                     P(S(P(S(1,1),1),1),1)            62         21
2.60  P(S(1,1),1,1)            P(1,1,1,1)                       25         15
2.60  P(S(1,1,1,1),1)          P(1,1)                           49         18
2.60  S(P(S(P(1,1),1),1),1)    S(1)                             62         21
2.67  S(1,1)                   P(S(1,1),S(1,1,1))               31         18
2.67  P(S(1,1),S(1,1))         P(S(P(1,1),1),1)                 37         16
2.67  S(1)                     P(S(P(1,1),1),1)                 62         25
2.67  P(1,1,1)                 P(1,1,1,1,1)                     21         16
2.67  S(1,1,1,1,1)             S(1,1,1)                         21         16
2.67  S(P(1,1),P(1,1,1))       P(1,1)                           31         18
2.67  S(P(S(1,1),1),1)         P(S(1,1),S(1,1))                 37         16
2.67  P(S(1,1),1)              P(S(1,1),1,1)                    42         18
2.67  S(P(1,1),1,1)            S(1,P(1,1))                      42         18
2.67  S(P(S(1,1),1),1)         S(1)                             62         25
2.71  P(S(P(1,1,1),1),1)       P(1,1,1)                         36         16
2.71  P(S(1,1),S(P(1,1),1))    P(1,1)                           32         18
2.71  S(1,1)                   S(P(1,1),P(S(1,1),1))            32         18
2.71  S(1,1,1)                 S(P(S(1,1,1),1),1)               36         16
2.75  S(P(1,1),P(S(1,1),1))    P(S(1,1),1)                      42         16
2.75  P(1,1)                   P(S(1,1),1,1,1)                  32         18
2.75  S(P(1,1),1,1,1)          S(1,1)                           32         18
2.75  S(1,P(1,1))              P(S(1,1),S(P(1,1),1))            42         16
2.75  S(1)                     P(S(P(1,1,1),1),1)               64         21
2.75  S(P(S(1,1,1),1),1)       S(1)                             64         21
2.78  P(S(1,1),1)              P(S(P(1,1),1),1,1)               43         16
2.78  S(P(S(1,1),1),1,1)       S(1,P(1,1))                      43         16
2.78  S(P(1,1,1),1)            P(S(1,1,1),1)                    48         16
2.80  S(1,1,1)                 S(P(S(1,1),1),1)                 39         18
2.80  S(1,P(1,1))              S(P(1,1),P(1,1,1))               43         16
2.80  P(S(P(1,1),1),1)         P(1,1,1)                         39         18
2.80  P(S(1,1),S(1,1,1))       P(S(1,1),1)                      43         16
2.87  S(1,1,1)                 S(P(S(P(1,1),1),1),1)            41         16
2.87  P(S(1,1,1),1)            P(S(1,1),1,1)                    49         16
2.87  S(1,P(1,1))              P(S(1,1,1,1),1)                  52         16
2.88  P(S(P(S(1,1),1),1),1)    P(1,1,1)                         41         16
2.88  S(P(1,1),1,1)            S(P(1,1,1),1)                    49         16
2.88  S(P(1,1,1,1),1)          P(S(1,1),1)                      52         16
3.00  P(1,1)                   P(1,1,1,1)                       33         22
3.00  P(S(1,1),S(1,1))         P(1,1)                           33         22
3.00  S(1,1)                   P(S(1,1),S(1,1))                 33         22
3.00  S(1,1,1,1)               S(1,1)                           33         22
3.00  P(S(1,1),1)              P(1,1,1)                         44         22
3.00  S(1,1,1)                 S(1,P(1,1))                      44         22
3.00  S(P(1,1,1),1)            P(S(1,1),1)                      50         19
3.00  S(1,P(1,1))              P(S(1,1,1),1)                    50         19
3.00  S(1)                     P(S(1,1),S(1,1),1)               67         22
3.00  S(P(1,1),P(1,1),1)       S(1)                             67         22
3.10  S(P(S(1,1),P(1,1)),1)    P(S(1,1),1)                      48         17
3.10  S(1,P(1,1))              P(S(P(1,1),S(1,1)),1)            48         17
3.14  P(S(P(1,1),S(1,1)),1)    P(1,1,1)                         49         17
3.14  S(1,1,1)                 S(P(S(1,1),P(1,1)),1)            49         17
3.22  S(P(1,1,1),1)            P(S(P(1,1),1),1)                 52         17
3.22  S(P(S(1,1),1),1)         P(S(1,1,1),1)                    52         17
3.25  S(1,P(1,1))              P(S(1,1),1)                      46         23
3.25  P(S(1,1,1),1)            P(1,1,1)                         52         20
