V1/V2   netlist                                                                      MAX err  AVG err
 1.143  (vin_out,out_0,vin_2,2_0,0_3,3_4,4_gnd)                                            9        4
 1.143  (vin_1,1_0,vin_out,out_0,0_3,3_4,4_gnd)                                            9        4
 1.143  (vin_0,vin_0,vin_0,vin_out,out_2,2_0,0_gnd,0_gnd)                                  9        4
 1.143  (vin_0,vin_0,vin_1,1_out,out_3,3_4,4_0,0_gnd)                                      9        4
 1.143  (vin_1,1_0,vin_out,out_3,3_0,0_4,4_gnd)                                           10        4
 1.143  (vin_0,vin_out,out_2,2_3,3_0,3_0,0_gnd)                                           10        4
 1.143  (vin_0,vin_0,vin_out,vin_out,out_0,out_0,0_gnd)                                   10        4
 1.143  (vin_0,vin_0,vin_out,out_0,vin_2,2_0,0_gnd)                                       10        4
 1.143  (vin_0,vin_0,vin_1,1_0,vin_out,out_0,0_gnd)                                       10        4
 1.143  (vin_0,vin_out,out_2,2_0,vin_3,3_4,4_0,0_gnd)                                     10        4
 1.143  (vin_0,vin_1,1_2,2_0,vin_out,out_4,4_0,0_gnd)                                     10        4
 1.143  (vin_0,vin_0,vin_out,out_2,2_0,2_0,2_0,0_gnd)                                     10        4
 1.143  (vin_0,vin_out,out_2,2_3,3_4,4_0,0_gnd,0_gnd)                                     11        4
 1.143  (vin_0,vin_0,vin_0,vin_0,vin_1,1_out,out_0,0_gnd)                                 11        4
 1.143  (vin_out,out_1,1_2,2_3,3_4,4_5,5_6,6_gnd)                                         12        3
 1.143  (vin_out,out_0,0_2,2_3,3_4,4_5,5_6,6_gnd)                                         12        3
 1.143  (vin_out,out_2,2_0,0_3,3_4,4_5,5_6,6_gnd)                                         12        3
 1.143  (vin_out,out_2,2_3,3_0,0_4,4_5,5_6,6_gnd)                                         12        3
 1.143  (vin_out,out_2,2_3,3_4,4_0,0_5,5_6,6_gnd)                                         12        3
 1.143  (vin_out,out_2,2_3,3_4,4_5,5_0,0_6,6_gnd)                                         12        3
 1.143  (vin_out,out_2,2_3,3_4,4_5,5_6,6_0,0_gnd)                                         12        3
 1.143  (vin_out,vin_out,vin_out,vin_out,vin_out,vin_out,vin_out,out_gnd)                 12        3
 1.148  (vin_0,vin_0,vin_1,1_0,1_out,out_0,0_3,3_gnd)                                      6        3
 1.148  (vin_0,vin_out,out_0,out_0,0_2,2_3,3_gnd,3_gnd)                                    8        3
 1.148  (vin_0,vin_out,out_2,2_0,2_0,0_3,3_gnd,3_gnd)                                     10        4
 1.150  (vin_out,vin_out,out_1,1_2,2_3,3_gnd,3_gnd,3_gnd)                                  6        3
 1.150  (vin_out,vin_out,out_0,out_0,out_0,0_2,2_3,3_gnd)                                  6        3
 1.150  (vin_out,vin_out,vin_out,vin_1,1_2,2_out,out_3,3_gnd)                              6        3
 1.150  (vin_out,vin_1,1_out,1_out,out_2,2_3,3_4,4_gnd)                                    7        3
